Team,xGD/90,xG/90 StDev,xGD/90 Var
Liverpool,0.98,0.71,0.51
Manchester City,0.81,1.42,2.01
Chelsea,0.42,1.32,1.75
Arsenal,0.46,1.53,2.34
Nott'ham Forest,0.27,1.14,1.29
Brighton,-0.18,1.19,1.41
Fulham,0.39,0.84,0.71
Newcastle Utd,0.15,0.89,0.79
Aston Villa,0.26,0.83,0.68
Tottenham,0.76,1.31,1.71
Brentford,-0.1,1.84,3.40
Bournemouth,0.4,0.88,0.78
Manchester Utd,0.06,1.42,2.00
West Ham,-0.31,1.48,2.19
Leicester City,-0.81,1.32,1.74
Everton,-0.37,0.81,0.65
Ipswich Town,-1.28,1.25,1.55
Crystal Palace,-0.22,0.85,0.73
Wolves,-0.75,1.08,1.17
Southampton,-0.96,1.25,1.56