Team,Attack Strength,Defense Strength,Overall Strength
Arsenal,1.49,-1.43,1.46
Man City,1.54,-1.27,1.41
Liverpool,1.58,-1.22,1.40
Chelsea,1.46,-0.88,1.17
Newcastle,1.44,-0.87,1.16
Tottenham,1.37,-0.85,1.11
Aston Villa,1.31,-0.83,1.07
Brighton,1.20,-0.90,1.05
Bournemouth,1.22,-0.86,1.04
Brentford,1.24,-0.83,1.03
Nott'm Forest,1.04,-0.99,1.02
Fulham,1.12,-0.90,1.01
Crystal Palace,1.06,-0.89,0.97
Man United,1.16,-0.78,0.97
Everton,0.99,-0.89,0.94
West Ham,1.14,-0.65,0.89
Wolves,0.98,-0.69,0.84
Leicester,0.95,-0.58,0.77
Southampton,0.90,-0.59,0.74
Ipswich,0.88,-0.55,0.71