Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2023-08-13,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Brentford,1.3,2.2,69,"17,066",Son Heung-min,4-2-3-1,5-3-2002,Robert Jones,Match Report,
2023-08-19,17:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Manchester Utd,1.7,2.1,55,"61,910",Son Heung-min,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2023-08-26,12:30,Premier League,Matchweek 3,Sat,Away,W,2,0,Bournemouth,2.1,0.7,56,"10,567",Son Heung-min,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,
2023-08-29,19:45,EFL Cup,Second round,Tue,Away,D,1 (3),1 (5),Fulham,,,60,"21,043",Ben Davies,4-4-1-1,4-2-3-1,Joshua Smith,Match Report,Fulham won on penalty kicks following extra time
2023-09-02,15:00,Premier League,Matchweek 4,Sat,Away,W,5,2,Burnley,2.2,1.3,53,"21,750",Son Heung-min,4-2-3-1,4-4-2002,Darren England,Match Report,
2023-09-16,15:00,Premier League,Matchweek 5,Sat,Home,W,2,1,Sheffield Utd,2.1,0.7,70,"61,706",Son Heung-min,4-2-3-1,3-5-2002,Peter Bankes,Match Report,
2023-09-24,14:00,Premier League,Matchweek 6,Sun,Away,D,2,2,Arsenal,1.4,1.8,53,"60,156",Son Heung-min,4-2-3-1,4-3-2003,Robert Jones,Match Report,
2023-09-30,17:30,Premier League,Matchweek 7,Sat,Home,W,2,1,Liverpool,2.2,1.3,64,"62,001",Son Heung-min,4-2-3-1,4-3-2003,Simon Hooper,Match Report,
2023-10-07,12:30,Premier League,Matchweek 8,Sat,Away,W,1,0,Luton Town,1.9,0.8,66,"10,290",Son Heung-min,4-2-3-1,4-4-2002,John Brooks,Match Report,
2023-10-23,20:00,Premier League,Matchweek 9,Mon,Home,W,2,0,Fulham,1.5,1,55,"61,286",Son Heung-min,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,
2023-10-27,20:00,Premier League,Matchweek 10,Fri,Away,W,2,1,Crystal Palace,1.1,0.6,75,"25,074",Son Heung-min,4-2-3-1,4-2-3-1,Andy Madley,Match Report,
2023-11-06,20:00,Premier League,Matchweek 11,Mon,Home,L,1,4,Chelsea,0.9,4.1,40,"61,726",Son Heung-min,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2023-11-11,12:30,Premier League,Matchweek 12,Sat,Away,L,1,2,Wolves,0.7,2.1,58,"31,642",Son Heung-min,4-3-2003,3-5-2002,Tim Robinson,Match Report,
2023-11-26,14:00,Premier League,Matchweek 13,Sun,Home,L,1,2,Aston Villa,2.3,1.7,62,"61,679",Son Heung-min,4-2-3-1,4-4-2002,Robert Jones,Match Report,
2023-12-03,16:30,Premier League,Matchweek 14,Sun,Away,D,3,3,Manchester City,0.5,2.6,45,"53,473",Son Heung-min,4-2-3-1,3-2-4-1,Simon Hooper,Match Report,
2023-12-07,20:15,Premier League,Matchweek 15,Thu,Home,L,1,2,West Ham,1.8,2.2,74,"61,171",Son Heung-min,4-2-3-1,4-3-2003,Michael Salisbury,Match Report,
2023-12-10,16:30,Premier League,Matchweek 16,Sun,Home,W,4,1,Newcastle Utd,3.8,1.7,56,"61,171",Son Heung-min,4-2-3-1,4-3-2003,Chris Kavanagh,Match Report,
2023-12-15,20:00,Premier League,Matchweek 17,Fri,Away,W,2,0,Nott'ham Forest,1.5,1.3,66,"29,296",Son Heung-min,4-2-3-1,3-5-2002,Jarred Gillett,Match Report,
2023-12-23,15:00,Premier League,Matchweek 18,Sat,Home,W,2,1,Everton,1.5,1.8,61,"61,808",Son Heung-min,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,
2023-12-28,19:30,Premier League,Matchweek 19,Thu,Away,L,2,4,Brighton,2.3,3.2,55,"31,675",Son Heung-min,4-2-3-1,4-1-2-1-2,Jarred Gillett,Match Report,
2023-12-31,14:00,Premier League,Matchweek 20,Sun,Home,W,3,1,Bournemouth,2.3,1.7,50,"61,780",Son Heung-min,4-3-2003,4-2-3-1,Simon Hooper,Match Report,
2024-01-05,20:00,FA Cup,Third round proper,Fri,Home,W,1,0,Burnley,,,63,"60,982",Rodrigo Bentancur,4-2-3-1,4-4-2002,Samuel Barrott,Match Report,
2024-01-14,16:30,Premier League,Matchweek 21,Sun,Away,D,2,2,Manchester Utd,1.2,0.8,63,"73,489",Cristian Romero,4-3-2003,4-2-3-1,John Brooks,Match Report,
2024-01-26,20:00,FA Cup,Fourth round proper,Fri,Home,L,0,1,Manchester City,,,43,"60,872",Cristian Romero,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,
2024-01-31,19:30,Premier League,Matchweek 22,Wed,Home,W,3,2,Brentford,2.9,1.6,67,"61,210",Cristian Romero,4-2-3-1,3-5-2002,David Coote,Match Report,
2024-02-03,12:30,Premier League,Matchweek 23,Sat,Away,D,2,2,Everton,1,2.6,57,"39,321",Cristian Romero,4-2-3-1,4-4-1-1,Michael Oliver,Match Report,
2024-02-10,15:00,Premier League,Matchweek 24,Sat,Home,W,2,1,Brighton,1.6,1.2,52,"61,445",Cristian Romero,4-2-3-1,4-2-3-1,Samuel Barrott,Match Report,
2024-02-17,15:00,Premier League,Matchweek 25,Sat,Home,L,1,2,Wolves,1.6,1.8,71,"61,532",Son Heung-min,4-2-3-1,3-4-2003,Anthony Taylor,Match Report,
2024-03-02,15:00,Premier League,Matchweek 27,Sat,Home,W,3,1,Crystal Palace,1.9,0.3,78,"61,339",Son Heung-min,4-2-3-1,3-4-2003,John Brooks,Match Report,
2024-03-10,13:00,Premier League,Matchweek 28,Sun,Away,W,4,0,Aston Villa,1.5,0.8,68,"42,310",Son Heung-min,4-2-3-1,5-3-2002,Chris Kavanagh,Match Report,
2024-03-16,17:30,Premier League,Matchweek 29,Sat,Away,L,0,3,Fulham,2.4,2.6,57,"24,410",Son Heung-min,4-2-3-1,4-2-3-1,Robert Jones,Match Report,
2024-03-30,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Luton Town,2.9,0.5,70,"61,534",Son Heung-min,4-2-3-1,4-3-2003,Jarred Gillett,Match Report,
2024-04-02,20:15,Premier League,Matchweek 31,Tue,Away,D,1,1,West Ham,1,1.5,67,"62,469",Son Heung-min,4-2-3-1,4-5-2001,John Brooks,Match Report,
2024-04-07,18:00,Premier League,Matchweek 32,Sun,Home,W,3,1,Nott'ham Forest,1.5,1.5,63,"61,098",Son Heung-min,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,
2024-04-13,12:30,Premier League,Matchweek 33,Sat,Away,L,0,4,Newcastle Utd,0.8,2.8,72,"52,147",Son Heung-min,4-2-3-1,4-3-2003,Tim Robinson,Match Report,
2024-04-28,14:00,Premier League,Matchweek 35,Sun,Home,L,2,3,Arsenal,2.3,1,62,"61,554",Son Heung-min,4-2-3-1,4-3-2003,Michael Oliver,Match Report,
2024-05-02,19:30,Premier League,Matchweek 26,Thu,Away,L,0,2,Chelsea,1.6,2.2,63,"39,086",Son Heung-min,4-2-3-1,4-2-3-1,Robert Jones,Match Report,
2024-05-05,16:30,Premier League,Matchweek 36,Sun,Away,L,2,4,Liverpool,1.2,3.3,56,"60,075",Son Heung-min,4-3-2003,4-3-2003,Paul Tierney,Match Report,
2024-05-11,15:00,Premier League,Matchweek 37,Sat,Home,W,2,1,Burnley,2.7,0.7,63,"61,148",Son Heung-min,4-3-2003,4-4-2002,Jarred Gillett,Match Report,
2024-05-14,20:00,Premier League,Matchweek 34,Tue,Home,L,0,2,Manchester City,1.7,2.4,53,"61,065",Son Heung-min,4-3-1-2,4-2-3-1,Chris Kavanagh,Match Report,
2024-05-19,16:00,Premier League,Matchweek 38,Sun,Away,W,3,0,Sheffield Utd,3.1,1,75,"29,116",Son Heung-min,4-2-3-1,5-3-2002,Andy Madley,Match Report,
2024-08-19,20:00,Premier League,Matchweek 1,Mon,Away,D,1,1,Leicester City,1.2,1,70,"31,977",Son Heung-min,4-3-2003,4-2-3-1,,Match Report,
2024-08-24,15:00,Premier League,Matchweek 2,Sat,Home,W,4,0,Everton,2.4,1,70,"61,357",Son Heung-min,4-3-2003,4-2-3-1,Anthony Taylor,Match Report,
2024-09-01,13:30,Premier League,Matchweek 3,Sun,Away,L,1,2,Newcastle Utd,1.2,1.8,65,"52,211",Son Heung-min,4-2-3-1,4-3-2003,Robert Jones,Match Report,