player,total_goals,high_xg_goals,low_xg_goals,low_chance_%,high_chance_%,position
Evan Ferguson,13,6,7,0.5384615385,0.4615384615,F
Danny Welbeck,47,23,24,0.5106382979,0.4893617021,F
Matheus Cunha,38,19,19,0.5,0.5,F
Hee-Chan Hwang,20,11,9,0.45,0.55,F
João Pedro,14,8,6,0.4285714286,0.5714285714,F
Yoane Wissa,40,23,17,0.425,0.575,F
Chris Wood,76,45,31,0.4078947368,0.5921052632,F
Rasmus Højlund,20,12,8,0.4,0.6,F
Dominic Solanke,31,19,12,0.3870967742,0.6129032258,F
Raúl Jiménez,52,32,20,0.3846153846,0.6153846154,F
Richarlison,60,37,23,0.3833333333,0.6166666667,F
Darwin Núñez,21,13,8,0.380952381,0.619047619,F
Ollie Watkins,64,40,24,0.375,0.625,F
Michail Antonio,68,43,25,0.3676470588,0.6323529412,F
Marcus Rashford,84,54,30,0.3571428571,0.6428571429,F
Cody Gakpo,15,10,5,0.3333333333,0.6666666667,F
Harry Kane,255,172,83,0.3254901961,0.6745098039,F
Odsonne Edouard,19,13,6,0.3157894737,0.6842105263,F
Alexander Isak,65,45,20,0.3076923077,0.6923076923,F
Kai Havertz,72,50,22,0.3055555556,0.6944444444,F
Bryan Mbeumo,30,21,9,0.3,0.7,F
Diogo Jota,59,42,17,0.2881355932,0.7118644068,F
Jean-Philippe Mateta,51,37,14,0.2745098039,0.7254901961,F
Aleksandar Mitrovic,38,28,10,0.2631578947,0.7368421053,F
Erling Haaland,136,101,35,0.2573529412,0.7426470588,F
Dominic Calvert-Lewin,56,42,14,0.25,0.75,F
Taiwo Awoniyi,37,28,9,0.2432432432,0.7567567568,F
Callum Wilson,88,68,20,0.2272727273,0.7727272727,F
Nicolas Jackson,32,25,7,0.21875,0.78125,F
Ivan Toney,36,29,7,0.1944444444,0.8055555556,F
Gabriel Jesus,73,59,14,0.1917808219,0.8082191781,F
Carlton Morris,11,9,2,0.1818181818,0.8181818182,F
Julián Álvarez,23,19,4,0.1739130435,0.8260869565,F